date,location,new_cases,new_deaths,total_cases,total_deaths
2019/12/31,Spain,0,0,0,0
2020/1/1,Spain,0,0,0,0
2020/1/2,Spain,0,0,0,0
2020/1/3,Spain,0,0,0,0
2020/1/4,Spain,0,0,0,0
2020/1/5,Spain,0,0,0,0
2020/1/6,Spain,0,0,0,0
2020/1/7,Spain,0,0,0,0
2020/1/8,Spain,0,0,0,0
2020/1/9,Spain,0,0,0,0
2020/1/10,Spain,0,0,0,0
2020/1/11,Spain,0,0,0,0
2020/1/12,Spain,0,0,0,0
2020/1/13,Spain,0,0,0,0
2020/1/14,Spain,0,0,0,0
2020/1/15,Spain,0,0,0,0
2020/1/16,Spain,0,0,0,0
2020/1/17,Spain,0,0,0,0
2020/1/18,Spain,0,0,0,0
2020/1/19,Spain,0,0,0,0
2020/1/20,Spain,0,0,0,0
2020/1/21,Spain,0,0,0,0
2020/1/22,Spain,0,0,0,0
2020/1/23,Spain,0,0,0,0
2020/1/24,Spain,0,0,0,0
2020/1/25,Spain,0,0,0,0
2020/1/26,Spain,0,0,0,0
2020/1/27,Spain,0,0,0,0
2020/1/28,Spain,0,0,0,0
2020/1/29,Spain,0,0,0,0
2020/1/30,Spain,0,0,0,0
2020/1/31,Spain,0,0,0,0
2020/2/1,Spain,1,0,1,0
2020/2/2,Spain,0,0,1,0
2020/2/3,Spain,0,0,1,0
2020/2/4,Spain,0,0,1,0
2020/2/5,Spain,0,0,1,0
2020/2/6,Spain,0,0,1,0
2020/2/7,Spain,0,0,1,0
2020/2/8,Spain,0,0,1,0
2020/2/9,Spain,0,0,1,0
2020/2/10,Spain,1,0,2,0
2020/2/11,Spain,0,0,2,0
2020/2/12,Spain,0,0,2,0
2020/2/13,Spain,0,0,2,0
2020/2/14,Spain,0,0,2,0
2020/2/15,Spain,0,0,2,0
2020/2/16,Spain,0,0,2,0
2020/2/17,Spain,0,0,2,0
2020/2/18,Spain,0,0,2,0
2020/2/19,Spain,0,0,2,0
2020/2/20,Spain,0,0,2,0
2020/2/21,Spain,0,0,2,0
2020/2/22,Spain,0,0,2,0
2020/2/23,Spain,0,0,2,0
2020/2/24,Spain,0,0,2,0
2020/2/25,Spain,1,0,3,0
2020/2/26,Spain,4,0,7,0
2020/2/27,Spain,5,0,12,0
2020/2/28,Spain,13,0,25,0
2020/2/29,Spain,9,0,34,0
2020/3/1,Spain,32,0,66,0
2020/3/2,Spain,17,0,83,0
2020/3/3,Spain,31,0,114,0
2020/3/4,Spain,37,0,151,0
2020/3/5,Spain,49,1,200,1
2020/3/6,Spain,61,2,261,3
2020/3/7,Spain,113,2,374,5
2020/3/8,Spain,56,0,430,5
2020/3/9,Spain,159,0,589,5
2020/3/10,Spain,615,23,1204,28
2020/3/11,Spain,435,7,1639,35
2020/3/12,Spain,501,12,2140,47
2020/3/13,Spain,864,37,3004,84
2020/3/14,Spain,1227,37,4231,121
2020/3/15,Spain,1522,15,5753,136
2020/3/16,Spain,2000,152,7753,288
2020/3/17,Spain,1438,21,9191,309
2020/3/18,Spain,1987,182,11178,491
2020/3/19,Spain,2538,107,13716,598
2020/3/20,Spain,3431,169,17147,767
2020/3/21,Spain,2833,235,19980,1002
2020/3/22,Spain,4946,324,24926,1326
2020/3/23,Spain,3646,394,28572,1720
2020/3/24,Spain,4517,462,33089,2182
2020/3/25,Spain,6584,514,39673,2696
2020/3/26,Spain,7937,738,47610,3434
2020/3/27,Spain,8578,655,56188,4089
2020/3/28,Spain,7871,769,64059,4858
2020/3/29,Spain,8189,832,72248,5690
2020/3/30,Spain,6549,838,78797,6528
2020/3/31,Spain,6398,812,85195,7340
